transaction_id,date,amount_amd,payer_name,reference
TXN-50004,2026-06-16,120000,LUSIN BAKERY,INV-1004
TXN-50001,2026-06-20,145000,GYUMRI BEAN HOUSE LLC,INV-1001
TXN-50009,2026-06-23,120000,GYUMRI BEAN HOUSE LLC,INV-1010
TXN-50008,2026-07-03,170000,KOND STREET,payment for coffee
TXN-50046,2026-07-03,170000,KOND STREET,payment for coffee
TXN-50005,2026-07-05,307500,KOND STREET,INV-1005
TXN-50014,2026-07-05,210000,LUSIN BAKERY,INV-1018
TXN-50019,2026-07-09,85000,DILIJAN FOREST LODGE,INV1023
TXN-50022,2026-07-09,145000,NORK WORKSPACE LLC,INV-1026
TXN-50010,2026-07-10,260000,SEVAN SHORE,
TXN-50023,2026-07-10,145000,GYUMRI BEAN HOUSE LLC,INV-1028
TXN-50048,2026-07-14,105000,NORK WORKSPACE LLC,INV-1008
TXN-50012,2026-07-22,615000,NORK WORKSPACE LLC,INV-1013
TXN-50028,2026-07-22,340000,P. HOVSEPYAN IE,INV-1036
TXN-50025,2026-07-23,480000,DILIJAN FOREST LODGE,INV1031
TXN-50030,2026-07-24,260000,ARDI HOTEL MANAGEMENT CJSC,INV-1038
TXN-50013,2026-07-27,145000,CASCADE CORNER CAFE,INV-1014
TXN-50016,2026-07-27,340000,DILIJAN FOREST LODGE,INV-1020
TXN-50017,2026-07-27,615000,DILIJAN FOREST LODGE,INV-1021
TXN-50033,2026-07-28,120000,CASCADE CORNER CAFE,INV-1042
TXN-50045,2026-07-28,380000,AURORA CAFE LLC,"INV-1003, INV-1012"
TXN-50031,2026-07-30,260000,P. HOVSEPYAN IE,inv 1039
TXN-50032,2026-07-30,480000,CASCADE CORNER CAFE,INV1040
TXN-50034,2026-08-02,260000,GYUMRI BEAN HOUSE LLC,INV-1043
TXN-50047,2026-08-02,150000,ARMEN S.,coffee beans
TXN-50024,2026-08-03,480000,SEVAN SHORE,INV-1030
TXN-50002,2026-08-05,260000,SEVAN SHORE,INV-1002
TXN-50035,2026-08-12,145000,NORK WORKSPACE LLC,inv 1045
TXN-50018,2026-08-13,120000,ARDI HOTEL MANAGEMENT CJSC,inv 1022
TXN-50027,2026-08-14,260000,KOND STREET,INV-1034
TXN-50020,2026-08-15,210000,AURORA CAFE LLC,INV1024
TXN-50038,2026-08-15,120000,KOND STREET,INV-1048
TXN-50036,2026-08-16,85000,LUSIN BAKERY,INV-1046
TXN-50040,2026-08-16,480000,LUSIN BAKERY,INV-1051
TXN-50042,2026-08-17,480000,NORK WORKSPACE LLC,
TXN-50026,2026-08-18,85000,DILIJAN FOREST LODGE,inv 1032
TXN-50039,2026-08-18,120000,AURORA CAFE LLC,INV-1050
TXN-50044,2026-08-19,2600000,ARDI HOTEL MANAGEMENT CJSC,INV1060
TXN-50049,2026-08-23,145000,GYUMRI BEAN HOUSE,refund reversal
TXN-50041,2026-08-24,210000,KOND STREET,inv 1054
TXN-50029,2026-08-28,120000,KOND STREET,INV-1037
TXN-50006,2026-08-29,210000,ARDI HOTEL MANAGEMENT CJSC,INV-1006
TXN-50037,2026-08-31,260000,CASCADE CORNER CAFE,INV-1047
TXN-50043,2026-08-31,480000,AURORA CAFE LLC,inv 1057
TXN-50015,2026-09-05,340000,GYUMRI BEAN HOUSE LLC,INV-1019
TXN-50021,2026-09-08,260000,NORK WORKSPACE LLC,
