invoice_id,customer_id,issue_date,due_date,amount_amd,erp_status
INV-1001,C03,2026-06-01,2026-07-01,145000,open
INV-1002,C10,2026-06-01,2026-07-01,260000,open
INV-1003,C01,2026-06-04,2026-07-04,260000,open
INV-1004,C02,2026-06-04,2026-06-18,120000,open
INV-1005,C04,2026-06-06,2026-07-06,615000,open
INV-1006,C05,2026-06-06,2026-07-21,210000,open
INV-1007,C06,2026-06-10,2026-06-24,145000,open
INV-1008,C08,2026-06-12,2026-07-12,85000,open
INV-1009,C04,2026-06-13,2026-07-13,340000,open
INV-1010,C03,2026-06-14,2026-07-14,120000,open
INV-1011,C10,2026-06-15,2026-07-15,260000,open
INV-1012,C01,2026-06-18,2026-07-18,120000,open
INV-1013,C08,2026-06-18,2026-07-18,615000,open
INV-1014,C09,2026-06-20,2026-07-20,145000,open
INV-1015,C06,2026-06-21,2026-07-05,615000,open
INV-1016,C10,2026-06-21,2026-07-21,615000,open
INV-1017,C06,2026-06-27,2026-07-11,260000,open
INV-1018,C02,2026-06-28,2026-07-12,210000,open
INV-1019,C03,2026-06-28,2026-07-28,340000,open
INV-1020,C07,2026-06-28,2026-08-12,340000,open
INV-1021,C07,2026-06-28,2026-08-12,615000,open
INV-1022,C05,2026-06-30,2026-08-14,120000,open
INV-1023,C07,2026-06-30,2026-08-14,85000,open
INV-1024,C01,2026-07-02,2026-08-01,210000,open
INV-1025,C08,2026-07-02,2026-08-01,260000,open
INV-1026,C08,2026-07-04,2026-08-03,145000,open
INV-1027,C07,2026-07-05,2026-08-19,120000,open
INV-1028,C03,2026-07-06,2026-08-05,145000,open
INV-1029,C05,2026-07-08,2026-08-22,120000,open
INV-1030,C10,2026-07-08,2026-08-07,480000,open
INV-1031,C07,2026-07-11,2026-08-25,480000,open
INV-1032,C07,2026-07-12,2026-08-26,85000,open
INV-1033,C10,2026-07-14,2026-08-13,120000,open
INV-1034,C04,2026-07-15,2026-08-14,260000,open
INV-1035,C08,2026-07-17,2026-08-16,210000,open
INV-1036,C06,2026-07-18,2026-08-01,340000,open
INV-1037,C04,2026-07-19,2026-08-18,120000,open
INV-1038,C05,2026-07-19,2026-09-02,260000,open
INV-1039,C06,2026-07-19,2026-08-02,260000,open
INV-1040,C09,2026-07-20,2026-08-19,480000,open
INV-1041,C03,2026-07-25,2026-08-24,340000,open
INV-1042,C09,2026-07-25,2026-08-24,120000,open
INV-1043,C03,2026-07-28,2026-08-27,260000,open
INV-1044,C05,2026-07-29,2026-09-12,340000,open
INV-1045,C08,2026-07-29,2026-08-28,145000,open
INV-1046,C02,2026-08-04,2026-08-18,85000,open
INV-1047,C09,2026-08-07,2026-09-06,260000,open
INV-1048,C04,2026-08-08,2026-09-07,120000,open
INV-1049,C06,2026-08-08,2026-08-22,210000,open
INV-1050,C01,2026-08-09,2026-09-08,120000,open
INV-1051,C02,2026-08-09,2026-08-23,480000,open
INV-1052,C04,2026-08-10,2026-09-09,260000,open
INV-1053,C02,2026-08-11,2026-08-25,210000,open
INV-1054,C04,2026-08-13,2026-09-12,210000,open
INV-1055,C08,2026-08-14,2026-09-13,480000,open
INV-1056,C08,2026-08-14,2026-09-13,480000,open
INV-1057,C01,2026-08-15,2026-09-14,480000,open
INV-1058,C09,2026-08-16,2026-09-15,615000,open
INV-1059,C04,2026-08-20,2026-09-19,340000,open
INV-1060,C05,2026-07-03,2026-08-17,3800000,open
